Title,SMILES,A549-hACE2_Cytotoxicity: CC50 (µM),P5_SARS-CoV2_nLuc inhibition: EC50 (µM),SI,Actividad
MWAC-0002888,O=C1C2=CC(Br)=CC=C2N(CC2=CC(F)=C(F)C=C2)C1=O,50,50,1,0
MWAC-0002885,O=C1C2=CC=CC=C2N(CC2=CC(F)=C(F)C=C2)C1=O,50,50,1,0
MWAC-0002884,O=C1C2=CC=CC=C2N(CC2=CC=C(C#N)C=C2)C1=O,50,50,1,0
MWAC-0002883,O=C1C2=CC=CC=C2N(CC2=CC=C(Br)C=C2)C1=O,50,20.21,2.4740227610094,0
MWAC-0002881,O=C1C2=CC=CC=C2N(CC2=CC=CC(F)=C2)C1=O,50,50,1,0
MWAC-0002511,CC(C)C(=O)Nc1cccc(CNC(=O)c2cc(C)nc3ccc(c4nccs4)cc23)c1,50,50,1,0
MWAC-0002260,O=C1N(CCC2=CC=C(Cl)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002257,O=C1N(CCS(C2=CC=C(C(F)(F)F)C=C2)(=O)=O)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002255,O=C1N(CCSC2=CC=C(F)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002252,O=C1N(CC(N2CCN(CC3=CC=C(F)C=C3)CC2)=O)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002251,O=C1N(CCCCSC2=CC=C(C(F)(F)F)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002248,O=C1N(CC(NCC2=CC=C(F)C=C2)=O)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002245,O=C1N(CC2=CC=C(OC(F)F)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002244,O=C1N(CC2=CC=C(Br)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002242,O=C1N(CC2=CC=C(F)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002240,O=C1N(CC2=CC(F)=C(F)C=C2)C2=CC=C(Br)C=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002239,O=C1N(CC2=CC(F)=CC=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0004130,O=C(C1=C(NC(CSC2=NC(C3=CN(C)N=C3)=CC=N2)=O)SC2=C1CCCCC2)N,22.53,0.05,450.6,1
MWAC-0004129,O=C(C1=C(NC(CSC2=NC(C3=CN(C)N=C3)=CC=N2)=O)SC2=C1CCC2)N,28.17,0.01,2817,1
MWAC-0004127,O=C(C1=C(NC(CSC2=NC(C3=CN=C(C(F)(F)F)N=C3)=CC=N2)=O)SC2=C1CCC2)N,38.69,2.41,16.0539419087137,1
MWAC-0004100,O=C(C1=C(NC(CSC2=NC(C3=CN(C)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,18.1,0.03,603.333333333333,1
MWAC-0004100,O=C(C1=C(NC(CSC2=NC(C3=CN(C)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,11.8,0.03,393.333333333333,1
MWAC-0004099,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OCC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,30.63,0.12,255.25,1
MWAC-0004098,O=C(C1=C(NC(CSC2=NC(C3=CC=C(C(F)(F)F)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.87,57.4712643678161,1
MWAC-0004097,O=C(C1=C(NC(CSC2=NC(C3=CC=C(C)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,24.09,0.25,96.36,1
MWAC-0004096,O=C(C1=C(NC(C(CC)SC2=NC(C3=CN=CN=C3)=CC=N2)=O)SC2=C1CCCC2)N,22.22,0.43,51.6744186046512,1
MWAC-0004095,O=C(C1=C(NC(C(CC)SC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,26.62,0.95,28.0210526315789,1
MWAC-0004094,O=C(C1=C(NC(C(C)SC2=NC(C3=CN=CN=C3)=CC=N2)=O)SC2=C1CCCC2)N,44.59,0.21,212.333333333333,1
MWAC-0004093,O=C(N)C1=C(NC(C(C)SC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2,50,0.44,113.636363636364,1
MWAC-0004092,O=C(C1=C(NC(C(C)SC2=NC(C3=CC=CN=C3)=CC=N2)=O)SC2=C1CCCC2)N,29.95,0.25,119.8,1
MWAC-0003983,CC1=NOC(C)=C1CN1CCC(C2CCNCC2)CC1,50,1.39,35.9712230215827,1
MWAC-0003980,O=C1N2C(=NC(CN3CCC(C4CCNCC4)CC3)=C1)SC=C2,50,2.19,22.8310502283105,1
MWAC-0003979,CC1=CC2=NC(CN3CCC(C4CCNCC4)CC3)=CC(=O)N2C=C1,50,1.81,27.6243093922652,1
MWAC-0003978,COC1=CC2=C(C=C1)OCC(CN1CCC(C3CCNCC3)CC1)=C2,12.07,0.4,30.175,1
MWAC-0003976,O=C(N1C2=C(C=C(C)C=C2)CCC1)CN1CCC(C2CCNCC2)CC1,23.49,0.7,33.5571428571429,1
MWAC-0003975,FC1=CC(CN2CCC(C3CCNCC3)CC2)=C(N2N=CC=C2)C=C1,45.92,0.81,56.6913580246914,1
MWAC-0003974,CC1=C(CN2CCC(C3CCNCC3)CC2)N=C2C(=N1)C=CC=C2,50,1.88,26.5957446808511,1
MWAC-0003973,FC1=CC=C(OCCCN2CCC(C3CCNCC3)CC2)C=C1,19.85,0.29,68.448275862069,1
MWAC-0003972,C1(C2CCN(CC3=CC(CN4C=CC=N4)=CC=C3)CC2)CCNCC1,50,0.29,172.413793103448,1
MWAC-0003970,COC1=CC=CC=C1C1=NC=C(CN2CCC(C3CCNCC3)CC2)S1,5.74,0.07,82,1
MWAC-0003966,C1(C2CCN(CC3=CC(OCC4=NC=CC=C4)=CC=C3)CC2)CCNCC1,18.69,0.19,98.3684210526316,1
MWAC-0003964,OC(CN(C)C1CCCCC1)COC1=CC=CC=C1CN1CCCOCC1,50,0.64,78.125,1
MWAC-0003963,OC(CN1CCSCC1)COC1=CC=CC=C1CN1CCC(N(C)C)CC1,50,0.5,100,1
MWAC-0003961,CN(CC(O)COC1=CC=CC=C1CN1CCC(F)(F)CC1)C1CCCCC1,50,2.17,23.0414746543779,1
MWAC-0003960,CN(CC(O)COC1=CC=CC=C1CNC1CCCC1)C1CCCCC1,32.66,0.65,50.2461538461538,1
MWAC-0003959,OC(CN1CCC(O)CC1)COC1=CC=C(OC)C=C1CNC1CC(C)(C)CC(C)(C)C1,17.41,0.93,18.7204301075269,1
MWAC-0003958,CN(CC1=CC(OC)=CC=C1OCC(O)CN1CCC(O)CC1)C1CCCCC1,50,2.62,19.0839694656489,1
MWAC-0003956,N#CC1(C)CCN(CC2=CC(OCC(O)CN(C3CCCCC3)C)=CC=C2)CC1,50,0.82,60.9756097560976,1
MWAC-0003955,N#CC1CCN(CC2=CC(OCC(O)CN(C3CCCCC3)C)=CC=C2)CC1,50,1.94,25.7731958762887,1
MWAC-0003954,N#CC1CCN(CC2=CC(OC)=CC=C2OCC(O)CN2CCC(O)CC2)CC1,50,3.71,13.4770889487871,1
MWAC-0003953,N#CC1CCN(CC2=CC=CC=C2OCC(O)CN2CCCCC2)CC1,50,1.3,38.4615384615385,1
MWAC-0003952,N#CC1(C)CCN(CC2=CC=CC=C2OCC(O)CN(C2CCCCC2)C)CC1,50,0.86,58.1395348837209,1
MWAC-0003950,O=C(N1CCCCC1)C1=CC=C(Cl)C=C1OC1CCN(C2CCCCC2)CC1,50,2.97,16.8350168350168,1
MWAC-0003949,OC(CN(C1CCCCC1)C)COC1=CC=CC=C1CN1CCC2=NNC=C2C1,50,2.55,19.6078431372549,1
MWAC-0003892,O=C(C1=C(NC(CSC2=NC(C3=CC=CC(OC)=C3)=CC=N2)=O)SC2=C1CCCC2)N,46.16,3.56,12.9662921348315,1
MWAC-0003891,O=C(C1=C(NC(CSC2=NC(C3=CC=CN=C3)=CC=N2)=O)SC2=C1CCCCC2)N,50,0.21,238.095238095238,1
MWAC-0003890,O=C(C1=C(NC(CSC2=NC(C3=CC=CN=C3)=CC=N2)=O)SC2=C1CCC2)N,50,0.07,714.285714285714,1
MWAC-0003889,O=C(C1=C(NC(CSC2=NC(C3=CC=CC(N(C)C)=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,1.74,28.735632183908,1
MWAC-0003888,O=C(C1=C(NC(CSC2=NC(C3=CC=C4N=CC=CC4=C3)=CC=N2)=O)SC2=C1CCCC2)N,20.9,0.88,23.75,1
MWAC-0003887,O=C(C1=C(NC(CSC2=NC(C3=CN=CN=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.12,416.666666666667,1
MWAC-0003886,O=C(C1=C(NC(CSC2=NC(C3=CC=C4OCCC4=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,1.28,39.0625,1
MWAC-0003885,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.04,1250,1
MWAC-0003885,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.1,500,1
MWAC-0003885,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.22,227.272727272727,1
MWAC-0003885,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.22,227.272727272727,1
MWAC-0003805,C1CCCc2c1nc(CN1CCC(C3CCNCC3)CC1)s2,36.61,0.57,64.2280701754386,1
