CatalogID,Canonical SMILES
Z5186256028,COc1ccc([C@@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2C)cc1
Z5186256038,CCN1C(=O)c2ccccc2[C@H](C(=O)O)[C@H]1c1ccccc1
Z5129505509,O=C(C#CC1(C(F)(F)F)CC1)N1Cc2ccccc2CC1c1ccccc1
Z5129932505,O=C(c1cccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Cl)cc2)c1)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z5129814234,O=C(c1ccc(Cl)c(S(=O)(=O)N(Cc2ccccc2)c2ccc(F)cc2)c1)N1Cc2ccccc2CC1c1ccccc1
Z5129816867,CCN(CC)S(=O)(=O)c1ccc2c(c1)nc(SCC(=O)Nc1ccc(C(=O)N3Cc4cc(OC)ccc4CC3c3ccccc3)cc1)n2-c1ccccc1OC
Z1274959009,Cn1nc(C(=O)N2Cc3ccccc3CC2c2ccccc2)c2ccccc2c1=O
Z3190954813,O=C1OCC[C@@H]1NC(=O)N1Cc2ccccc2CC1c1ccccc1
Z5129787034,Nc1ncnc2c1ncn2Cc1cn(C2CCN(Cc3cc(C(=O)N4Cc5cc(Cl)ccc5CC4c4ccccc4)no3)CC2)nn1
Z1274960280,Cc1cc(=O)c(C(=O)N2Cc3ccccc3CC2c2ccccc2)nn1-c1ccccc1F
Z1274961346,O=C(c1nn(-c2ccc(F)cc2)ccc1=O)N1Cc2ccccc2CC1c1ccccc1
Z1296764402,Cc1cc(=O)c(C(=O)N2Cc3ccccc3CC2c2ccccc2)nn1-c1ccccc1
Z5198605718,CC(C)(C)c1ccc(C=Cc2cc(C(=O)N3Cc4ccccc4CC3c3ccccc3)c3cc(Br)ccc3n2)cc1
Z5198613868,Cc1c(NS(=O)(=O)c2cccc(C(=O)N3Cc4cc(Cl)ccc4CC3c3ccccc3)c2)c(=O)n(-c2ccccc2)n1C
Z5198626695,O=C(c1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccc(Cl)cc2)cc1)N1Cc2ccccc2CC1c1ccccc1
Z5002980048,O=C(C(F)Cl)N1Cc2ccccc2CC1c1ccccc1
Z2242130764,Cl.c1ccc(C2Cc3ccccc3CN2)cc1
Z62431718,COc1ccc(C2C(C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z5621716001,O=C(CN1Cc2ccccc2CC1c1ccccc1)NC(=O)NCc1ccccc1
Z2957085479,O=C([C@H]1CCOC1)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1289643169,CN1Cc2ccccc2CC1c1ccccc1
Z1289643484,CCN1Cc2ccccc2CC1c1ccccc1
Z1395869807,CN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1289643082,C=CCN1Cc2ccccc2CC1c1ccccc1
Z1289643080,CCCN1Cc2ccccc2CC1c1ccccc1
Z2369150943,NCCN1Cc2ccccc2CC1c1ccccc1
Z1289643196,N#CCN1Cc2ccccc2CC1c1ccccc1
Z1414861197,COc1ccc2c(c1)CN(C)C(c1ccccc1)C2
Z1337831360,OCCN1Cc2ccccc2CC1c1ccccc1
Z1274959915,CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274622827,NC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1414624852,FCCN1Cc2ccccc2CC1c1ccccc1
Z1534683156,C#CCCN1Cc2ccccc2CC1c1ccccc1
Z1289642971,C=C(C)CN1Cc2ccccc2CC1c1ccccc1
Z1289643068,C=CCCN1Cc2ccccc2CC1c1ccccc1
Z4592148045,C[C@@H](N)CN1Cc2ccccc2CC1c1ccccc1
Z2447353307,CC(N)CN1Cc2ccccc2CC1c1ccccc1
Z2354035857,NCCCN1Cc2ccccc2CC1c1ccccc1
Z1278856385,N#CCCN1Cc2ccccc2CC1c1ccccc1
Z1414860740,CCN1Cc2cc(OC)ccc2CC1c1ccccc1
Z1274959622,CCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z2834054814,CC(=O)CN1Cc2ccccc2CC1c1ccccc1
Z2311933562,C[C@@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z2311933564,C[C@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z1989640775,CC(O)CN1Cc2ccccc2CC1c1ccccc1
Z1289643377,OCCCN1Cc2ccccc2CC1c1ccccc1
Z1289643040,COCCN1Cc2ccccc2CC1c1ccccc1
Z6692577297,NCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1289643533,NC(=O)CN1Cc2ccccc2CC1c1ccccc1
Z1274622796,CNC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274959759,COC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1289642963,O=C(O)CN1Cc2ccccc2CC1c1ccccc1
PV-002407960280,O=C(CO)N1Cc2ccccc2CC1c1ccccc1
Z1289643459,FC(F)CN1Cc2ccccc2CC1c1ccccc1
Z1289643712,CSCCN1Cc2ccccc2CC1c1ccccc1
Z1276536637,CNC(=S)N1Cc2ccccc2CC1c1ccccc1
Z1289643340,ClC=CCN1Cc2ccccc2CC1c1ccccc1
Z1289643677,C=C(Cl)CN1Cc2ccccc2CC1c1ccccc1
Z2369158520,NCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1395870716,N#CCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1395873086,OCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1271392668,CS(=O)(=O)N1Cc2ccccc2CC1c1ccccc1
Z1389127291,NC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z7469842749,NC/C=C/CN1Cc2ccccc2CC1c1ccccc1
Z5342723110,NCCCCN1Cc2ccccc2CC1c1ccccc1
Z2447353300,CNCCCN1Cc2ccccc2CC1c1ccccc1
Z1289642950,N#CCCCN1Cc2ccccc2CC1c1ccccc1
PV-003299305291,CCC(N)CN1Cc2ccccc2CC1c1ccccc1
Z1289643026,CCC(O)CN1Cc2ccccc2CC1c1ccccc1
Z1289643261,CCOCCN1Cc2ccccc2CC1c1ccccc1
Z1557033066,CC(CO)CN1Cc2ccccc2CC1c1ccccc1
PV-004879760078,C=C(CO)CN1Cc2ccccc2CC1c1ccccc1
Z1289643580,OCCCCN1Cc2ccccc2CC1c1ccccc1
PV-009000736712,C=C[C@H](O)CN1Cc2ccccc2CC1c1ccccc1
PV-009000736711,C=C[C@@H](O)CN1Cc2ccccc2CC1c1ccccc1
PV-008972908635,CCC(=O)CN1Cc2ccccc2CC1c1ccccc1
PV-009000736713,C=CC(O)CN1Cc2ccccc2CC1c1ccccc1
Z1993920528,CC[C@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z1477584608,CC(=O)CCN1Cc2ccccc2CC1c1ccccc1
Z7350585488,c1ccc(C2Cc3ccccc3CN2C[C@@H]2CCO2)cc1
Z2272307042,CC(O)CCN1Cc2ccccc2CC1c1ccccc1
Z1643244407,COC(C)CN1Cc2ccccc2CC1c1ccccc1
Z1414858674,C=CCN1Cc2cc(OC)ccc2CC1c1ccccc1
Z1274961065,CC=CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z4262036196,c1ccc(C2Cc3ccccc3CN2CC2CCO2)cc1
Z1274961181,CC(C)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274959620,CCCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z3875699721,OCC=CCN1Cc2ccccc2CC1c1ccccc1
Z1289642909,CC[C@@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z1274960500,O=C(C1CC1)N1Cc2ccccc2CC1c1ccccc1
Z2449885196,C[C@@H](N)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1726537079,N#CCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1289643270,CNC(=O)CN1Cc2ccccc2CC1c1ccccc1
Z2449885191,CC(N)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z2449885188,NCCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z2449885197,C[C@H](N)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z2449885202,CNCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1278856386,NC(=O)CCN1Cc2ccccc2CC1c1ccccc1
Z2069257721,FCCCCN1Cc2ccccc2CC1c1ccccc1
Z1414859922,COc1ccc2c(c1)CN(CC#N)C(c1ccccc1)C2
Z2369155561,COc1ccc2c(c1)CN(CCN)C(c1ccccc1)C2
Z3363703453,NCC(=O)CN1Cc2ccccc2CC1c1ccccc1
Z1274622820,CCNC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274960777,COCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1289643458,COC(=O)CN1Cc2ccccc2CC1c1ccccc1
Z2269949409,CC(O)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1414910942,COc1ccc2c(c1)CN(C(C)=O)C(c1ccccc1)C2
Z1414862573,COc1ccc2c(c1)CN(CCO)C(c1ccccc1)C2
Z2947154702,OC[C@@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z2947154769,OC[C@H](O)CN1Cc2ccccc2CC1c1ccccc1
Z1642047297,OCC(O)CN1Cc2ccccc2CC1c1ccccc1
Z1816804929,C[C@@H](O)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1289643398,O=C(O)CCN1Cc2ccccc2CC1c1ccccc1
PV-004486483770,NOCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z6106034030,NC(=O)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z4262036088,OCC(F)CN1Cc2ccccc2CC1c1ccccc1
Z3254796816,OC(CF)CN1Cc2ccccc2CC1c1ccccc1
Z3254796795,O[C@H](CF)CN1Cc2ccccc2CC1c1ccccc1
Z1414857949,COc1ccc2c(c1)CN(CCF)C(c1ccccc1)C2
Z1413847478,COc1ccc2c(c1)CN(C(N)=O)C(c1ccccc1)C2
Z7277356873,O[C@@H](CF)CN1Cc2ccccc2CC1c1ccccc1
Z1906291208,O=C(C(F)F)N1Cc2ccccc2CC1c1ccccc1
Z1289643036,FC(F)(F)CN1Cc2ccccc2CC1c1ccccc1
Z1289643232,CCSCCN1Cc2ccccc2CC1c1ccccc1
Z1276536668,CCNC(=S)N1Cc2ccccc2CC1c1ccccc1
Z2272306995,CS(=O)CCN1Cc2ccccc2CC1c1ccccc1
Z1393112552,N#CCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1274959021,CSCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1395869092,OCCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1395869389,COCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1989657473,CC(O)CN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1391725153,CCC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1395870823,NC(=O)CN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z5355820153,NCC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1389127405,CNC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
